rank_no,rank_score,dataset,rows_dev,coef_mae,fold_mae,gate_abs_error,gate075_bets,gate075_W,gate075_L,gate075_P,actual_col,margin_mode,margin_reverse,ht_sign,ht_surprise_basis,spread_mode,total_disp_reverse,total_move_reverse,target_reverse
38,966.1463248045187,all,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,False,True
39,966.1463248045187,all,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,False,False
40,966.1463248045187,all,4918,0.12847925756774084,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,False,True
41,982.3019883462625,regular_table,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,True,False
42,982.3019883462625,regular_table,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,True,True
43,982.3019883462625,regular_table,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,True,False
44,982.3019883462625,regular_table,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,True,True
45,982.3019883462625,all,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,True,False
46,982.3019883462625,all,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,line,True,True,True
47,982.3019883462625,all,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,True,False
48,982.3019883462625,all,4918,0.14463492110948473,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,line,True,True,True
49,985.670272033222,regular_table,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,False,False
50,985.670272033222,regular_table,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,False,True
51,985.670272033222,regular_table,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,False,False
52,985.670272033222,regular_table,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,False,True
53,985.670272033222,all,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,False,False
54,985.670272033222,all,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,False,True
55,985.670272033222,all,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,False,False
56,985.670272033222,all,4918,0.1480032047964442,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,False,True
57,990.3677545138708,regular_table,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,False,False
58,990.3677545138708,regular_table,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,False,True
59,990.3677545138708,regular_table,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,False,False
60,990.3677545138708,regular_table,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,False,True
61,990.3677545138708,all,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,False,False
62,990.3677545138708,all,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,False,True
63,990.3677545138708,all,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,False,False
64,990.3677545138708,all,4918,0.14487167825225641,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,False,True
65,1001.8259355749659,regular_table,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,True,False
66,1001.8259355749659,regular_table,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,True,True
67,1001.8259355749659,regular_table,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,True,False
68,1001.8259355749659,regular_table,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,True,True
69,1001.8259355749659,all,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,True,False
70,1001.8259355749659,all,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,False,True,True
71,1001.8259355749659,all,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,True,False
72,1001.8259355749659,all,4918,0.16415886833818807,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,False,True,True
73,1006.5234180556147,regular_table,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,True,False
74,1006.5234180556147,regular_table,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,True,True
75,1006.5234180556147,regular_table,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,True,False
76,1006.5234180556147,regular_table,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,True,True
77,1006.5234180556147,all,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,True,False
78,1006.5234180556147,all,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,line,True,True,True
79,1006.5234180556147,all,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,True,False
80,1006.5234180556147,all,4918,0.1610273417940003,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,line,True,True,True
81,1011.3894974600895,regular_table,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,False,False
82,1011.3894974600895,regular_table,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,False,True
83,1011.3894974600895,regular_table,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,False,False
84,1011.3894974600895,regular_table,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,False,True
85,1011.3894974600895,all,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,False,False
86,1011.3894974600895,all,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,False,True
87,1011.3894974600895,all,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,False,False
88,1011.3894974600895,all,4918,0.1658934211984752,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,False,True
89,1027.0808197037304,regular_table,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,True,False,False
90,1027.0808197037304,regular_table,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,True,False,True
91,1027.0808197037304,regular_table,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,True,False,False
92,1027.0808197037304,regular_table,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,True,False,True
93,1027.0808197037304,all,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,True,False,False
94,1027.0808197037304,all,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,expected,False,1,line,expected,True,False,True
95,1027.0808197037304,all,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,True,False,False
96,1027.0808197037304,all,4918,0.18941375246695252,0.08242670672367779,1340,783,413,352,18,actual2h_noot,line,True,1,line,expected,True,False,True
97,1027.5451610018333,regular_table,4918,0.18204908474021908,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,True,False
98,1027.5451610018333,regular_table,4918,0.18204908474021908,0.08333960762616144,1210,751,395,338,18,actual2h_noot,expected,False,1,expected,expected,False,True,True
99,1027.5451610018333,regular_table,4918,0.18204908474021908,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,True,False
100,1027.5451610018333,regular_table,4918,0.18204908474021908,0.08333960762616144,1210,751,395,338,18,actual2h_noot,line,True,1,expected,expected,False,True,True
